Name,Position,Age,Height,Weight,Salary,League
Mindaugas Kuzminskas,F,28,81,215,"$3,025,035.00 ",NBA
Skal Labissiere,F/C,21,83,225,"$1,312,611.00 ",NBA
Jeremy Lamb,G/F,25,77,185,"$7,000,000.00 ",NBA
Zach LaVine,G,22,77,208,"$3,202,218.00 ",NBA
Jake Layman,PF,23,81,215,"$1,312,611.00 ",NBA
Courtney Lee,G/F,32,77,200,"$11,747,890.00 ",NBA
Alex Len,F/C,24,85,250,"$4,187,599.00 ",NBA
Kawhi Leonard,G/F,26,79,230,"$18,868,626.00 ",NBA
Meyers Leonard,F/C,25,85,255,"$9,904,495.00 ",NBA
Jon Leuer,F/C,28,82,228,"$10,497,319.00 ",NBA
Caris LeVert,G/F,23,79,203,"$1,632,480.00 ",NBA
Damian Lillard,PG,27,75,195,"$26,153,057.00 ",NBA
Jeremy Lin,G,29,75,200,"$12,000,000.00 ",NBA
Shaun Livingston,G,32,79,192,"$7,692,308.00 ",NBA
Brook Lopez,C,29,84,268,"$22,642,650.00 ",NBA
Robin Lopez,C,29,84,282,"$13,788,500.00 ",NBA
Kevin Love,F/C,29,82,251,"$22,642,350.00 ",NBA
Kyle Lowry,PG,31,73,196,"$28,703,704.00 ",NBA
Tyler Lydon,PF,21,82,225,"$1,579,440.00 ",NBA
Trey Lyles,PF,22,82,234,"$2,441,400.00 ",NBA
Ian Mahinmi,C,31,83,262,"$16,661,641.00 ",NBA
Thon Maker,F/C,20,85,223,"$2,684,160.00 ",NBA
Lauri Markkanen,PF,20,84,227,"$3,821,640.00 ",NBA
Kendall Marshall,PG,26,76,200,"$2,048,257.00 ",NBA
Jarell Martin,F/C,23,82,239,"$1,471,382.00 ",NBA
Frank Mason III,PG,23,71,190,"$1,184,385.00 ",NBA
Jordan Mathews,PG,23,76,203,"$815,615.00 ",NBA
Wesley Matthews,G/F,31,77,220,"$17,884,176.00 ",NBA
CJ McCollum,G,26,75,190,"$23,962,573.00 ",NBA
Erik McCree,SF,24,80,225,"$815,615.00 ",NBA
Doug McDermott,SF,25,80,225,"$3,294,994.00 ",NBA
Ben McLemore,SG,24,77,195,"$5,200,000.00 ",NBA
Josh McRoberts,F/C,30,82,240,"$6,021,175.00 ",NBA
